Entry,Ref,OLDRS,RANK,RS,RAWQP,QPRANK,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,,,,,,,,,,,,,,,,,2024,2021,,Nebbiolo D’Alba Bricco Barone,,,Marziano Abbona,Piemonte,,25,Nebbiolo 100%,Fettuccine al ragù d’agnello,,,86,nd,nd,,,,,15,27,,Legno 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Ravera,,,Abrigo Giovanni,Piemonte,,40,Nebbiolo 100%,Capriolo con salsa di ribes rosso,,,89,nd,nd,,,,,14,3,,Acciaio 6 mesi e,,"Legno 20 mesi e Cemento 6 mesi Elegante rosso granato. L’orchestra sinfonica è affiatata: fluttuano nell’aere note di peonia, fragolina, achillea, clorofilla e spezie gentili. Le papille gustative vengono allietate da una misurata trama tannica e l’assaggio risulta molto raffinato, pur mostrando la giusta proporzione di muscoli.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Dolcetto Di Diano D’Alba Superiore Garabei,,,Abrigo Giovanni,Piemonte,,18,Dolcetto 100%,Terrina di coniglio,,,86,nd,nd,,,,,14,5,,Cemento 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Dolcetto Di Diano D’Alba Sorì Dei Crava,,,Abrigo Giovanni,Piemonte,,13,Dolcetto 100%,Risotto ai porcini,,,86,nd,nd,,,,,14,5,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barbaresco Montersino,,,Orlando Abrigo,Piemonte,,50,Nebbiolo 100%,Guanciale di manzo al brandy,,,89,nd,nd,,,,,13,8,,Legno 15 mesi,,"Granato. Piace per espressività olfattiva: profumi di lampone e mora di rovo, sottobosco di pineta, menta, spezie dolci e punteggiatura balsamica. Ma anche al palato mostra la sua completezza, tra un ingresso caldo e avvolgente e un saliente tannino che indirizza verso l’equilibrio. Giovane, persistente.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Barbera D’Alba Mervisano,,,Orlando Abrigo,Piemonte,,35,Barbera 100%,Sella di coniglio al tartufo con timballo di patate,,,86,nd,nd,,,,,13,4,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2016,,Sauvignon D’Amblé Tempo,,,Orlando Abrigo,Piemonte,,35,Sauvignon 100%,Asparagi verdi allo zabaione salato,,,86,nd,nd,,,,,13,1,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Nebbiolo D’Alba Valmaggiore,,,Orlando Abrigo,Piemonte,,28,Nebbiolo 100%,Pizzoccheri valtellinesi,,,82,nd,nd,,,,,13,12,,Legno 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barbera Del Monferrato Superiore Bricco Battista,,,Accornero,Piemonte,,28,Barbera 100%,Filetto di maiale lardellato,,,89,nd,nd,,,,,14,12,,Legno 18 mesi,,"Rubino con riflessi granato. Naso orientato su profumi fruttati, floreali e terrosi. Prevalgono ricordi di humus e sottobosco, accompagnati da ribes e susine che danno spazio rose e viole appassite. La bocca decisa e gustosa traccia un preciso equilibrio tra setosa morbidezza, acidità e fine e percettibile tannino.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Grignolino Del Monferrato Casalese Bricco Del Bosco,,,Accornero,Piemonte,,12,Grignolino 100%,Robiola di Roccaverano,,,89,nd,nd,,,,,14,18,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Grignolino Del Monferrato Casalese Bricco Del Bosco Vigne Vecchie,,,Accornero,Piemonte,,35,Grignolino 100%,Finanziera,,,86,nd,nd,,,,,14,2,,Legno 36 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Barbera Del Monferrato Superiore Giulin,,,Accornero,Piemonte,,14,Barbera 100%,6 mesi e Legno 6 mesi Quaglie alla cacciatora,,,86,nd,nd,,,,,14,40,,Acciaio,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Malvasia Di Casorzo D’Asti Brigantino,,,Accornero,Piemonte,,12,Malvasia di Casorzo 100%,Mousse alle fragole con sciroppo di marasche,,,86,nd,nd,,,,,14,10,,Acciaio 2 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Monferrato Rosso Girotondo,,,Accornero,Piemonte,,19,Nebbiolo 100%,Grana Padano Riserva,,,86,nd,nd,,,,,14,2,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Barbaresco Basarin,,,Adriano Marco e Vittorio,Piemonte,,32,Nebbiolo 100%,Reale di vitello alla senape antica,,,91,nd,nd,,,,,14,25,,Legno 12 mesi,,"Granato. Ampia progressione gustativa: erbe aromatiche e tratti vegetali in un caldo sottobosco di pineta, cenni olivastri, viola e lampone. La sontuosa concentrazione gustativa vede dipanarsi un avvincente dialogo fra masse tanniche e fruttate, che raggiunge un’equilibrata sintesi nell’epilogo.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Barbaresco Sanadaive,,,Adriano Marco e Vittorio,Piemonte,,27,Nebbiolo 100%,Piccione al forno con cipollotti,,,86,nd,nd,,,,,14,12,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Barbera D’Alba Superiore,,,Adriano Marco e Vittorio,Piemonte,,13,Barbera 100%,Legno 6 mesi Tortelli al Castelmagno,,,86,nd,nd,,,,,14,20,,Acciaio 6 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Moscato D’Asti Maddalena,,,Adriano Marco e Vittorio,Piemonte,,10,Moscato bianco 100%,Fagottino di mele,,,86,nd,nd,,,,,14,20,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Langhe Nebbiolo Cainassa,,,Adriano Marco e Vittorio,Piemonte,,15,Nebbiolo 90% – Dolcetto 10%,Coniglio al forno con patate,,,82,nd,nd,,,,,14,20,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Ardì,,,Adriano Marco e Vittorio,Piemonte,,10,Moscato bianco 100%,Crostini al lardo d’Arnad,,,82,nd,nd,,,,,14,10,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Riva Rocca,,,Claudio Alario,Piemonte,,46,Nebbiolo 100%,Gulasch di cervo con patate stufate,,,91,nd,nd,,,,,15,4,,Legno 36 mesi,,"Granato. Generoso esordio fruttato, fragole in gelatina, susine. L’afflato balsamico si libra tra richiami mentolati, accenni di macchia mediterranea, tè e humus. Nel sorso esplode la densità tannica, misurata da un’avvolgenza calorosa; ricordi di pesca di vigna e foglie di castagno in gustosa progressione.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Dolcetto Di Diano D’Alba Sorì Costa Fiore,,,Claudio Alario,Piemonte,,14,Dolcetto 100%,Pappardelle al ragù di cinghiale,,,89,nd,nd,,,,,15,8,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Barbera D’Alba Valletta,,,Claudio Alario,Piemonte,,28,Barbera 100%,Straccetti di vitello al rosmarino,,,86,nd,nd,,,,,15,8,,Legno 20 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Sorano,,,Claudio Alario,Piemonte,,50,Nebbiolo 100%,Manzo brasato con funghi,,,86,nd,nd,,,,,15,4,,Legno 36 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Dolcetto Di Diano D’Alba Superiore Sorì Pradurent,,,Claudio Alario,Piemonte,,15,Dolcetto 100%,Pecorino di Pienza,,,86,nd,nd,,,,,15,4,,Legno 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Dolcetto Di Diano D’Alba Sorì Montagrillo,,,Claudio Alario,Piemonte,,12,Dolcetto 100%,Maltagliati con funghi porcini,,,86,nd,nd,,,,,15,4,,Acciaio 10 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Bussia,,,Alberto Ballarin,Piemonte,,60,Nebbiolo 100%,Carré di maiale al forno con mele renette,,,89,nd,nd,,,,,14,3,,Acciaio 2 mesi e,,"Legno 24 mesi Granato. Naso variegato, giovane: t’accoglie con una nitida fragolina scortata da sensazioni balsamiche, di erbe aromatiche, menta, una spezia lussuosa e mai invasiva, un raffinato floreale diffuso. Barolo completo per struttura, appena ruvido ma sostanzioso nel tannino, succoso e fruttato fino al lungo finale.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Bricco Rocca,,,Alberto Ballarin,Piemonte,,60,Nebbiolo 100%,Legno 24 mesi Capriolo con salsa di ribes rosso,,,86,nd,nd,,,,,14,3,,Acciaio 2 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo,,,Alberto Ballarin,Piemonte,,48,Nebbiolo 100%,Legno 24 mesi Agnolotti al piccione con sugo d’arrosto,,,86,nd,nd,,,,,14,16,,Acciaio 2 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Boiolo,,,Alberto Ballarin,Piemonte,,60,Nebbiolo 100%,Legno 24 mesi Controfiletto di bue alla brace,,,86,nd,nd,,,,,14,3,,Acciaio 2 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Gramolere,,,Fratelli Alessandria,Piemonte,,60,Nebbiolo 100%,Carré di maiale al forno con mele renette,,,91,nd,nd,,,,,13,7,,Legno 32 mesi,,"Forse il miglior Gramolere di sempre. È tutto polpa di frutta rossa, lampone e ciliegia, fragola macerata e melagrana ma anche geranio e glicine, viola e pepe bianco. La bocca è monfortese: importante e vigorosa, succosa nello sviluppo, appena tannica sul finale. Squisito.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Monvigliero,,,Fratelli Alessandria,Piemonte,,74,Nebbiolo 100%,Scaloppa di vitello con asparagi trifolati,,,91,nd,nd,,,,,13,7,,Legno 32 mesi,,"Superba espressione olfattiva, fatta da fiori e frutti di sublime eleganza: iris, violetta, pesca, melagrana, lampone, confetture. Naso fresco e puro che prosegue con una bocca equilibrata, gentile nel tannino, notevole nello sviluppo. Al meglio dal 2030. Primo anno di produzione: 1978.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Verduno Pelaverga Speziale,,,Fratelli Alessandria,Piemonte,,16,Pelaverga piccolo 100%,Crostini al lardo di Colonnata,,,89,nd,nd,,,,,13,25,,,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo San Lorenzo Di Verduno,,,Fratelli Alessandria,Piemonte,,55,Nebbiolo 100%,Medaglioni di cervo con riduzione di cottura,,,89,nd,nd,,,,,13,5,,Legno 32 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Del Comune Di Verduno,,,Fratelli Alessandria,Piemonte,,40,Nebbiolo 100%,Bra d’alpeggio,,,86,nd,nd,,,,,13,20,,Legno 34 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Barbera D’Alba Superiore Priora,,,Fratelli Alessandria,Piemonte,,19,Barbera 100%,Zuppa d’orzo e chiodini,,,86,nd,nd,,,,,13,7,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo San Giovanni,,,Gianfranco Alessandria,Piemonte,,70,Nebbiolo 100%,Fagiano arrosto,,,91,nd,nd,,,,,14,5,,Legno 24 mesi,,"Colore scuro, naso molto fruttato, sciolto e aperto: toni polposi si uniscono sensazioni floreali di grande eleganza, poi noce moscata, liquirizia e pepe impreziosire il panorama olfattivo. La bocca è morbida, giustamente tannica, lunga in persistenza.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo,,,Gianfranco Alessandria,Piemonte,,45,Nebbiolo 100%,Ossobuco alla milanese,,,91,nd,nd,,,,,14,12,,Legno 24 mesi,,"Una chicca. Naso dolce e avvolgente, legato profumi di fiori passiti e frutti di sottobosco, lampone, caramella alla fragola, ciliegia in confettura. La bocca è ricca e tosta, molto equilibrata nello sviluppo. Un piccolo paradiso.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Barbera D’Alba Vittoria,,,Gianfranco Alessandria,Piemonte,,35,Barbera 100%,Stinco di maiale al forno in pancetta affumicata,,,89,nd,nd,,,,,14,5,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Langhe Nebbiolo,,,Gianfranco Alessandria,Piemonte,,25,Nebbiolo 100%,Pasta e fagioli,,,89,nd,nd,,,,,14,6,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Barbera D’Alba,,,Gianfranco Alessandria,Piemonte,,22,Barbera 100%,Risotto con le quaglie,,,89,nd,nd,,,,,14,15,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Roero Arneis Bricco Delle Ciliegie,,,Giovanni Almondo,Piemonte,,20,Arneis 100%,Tacchino stufato con peperoni e radicchio,,,91,nd,nd,,,,,14,48,,Acciaio 6 mesi,,"Un classico della denominazione. La veste giallo paglierino è luminosa; il naso ricco e preciso, con richiami di pietra, erbe aromatiche, fiori gialli, frutta ancora viva e croccante, miele, spezie dolci. Il sorso racconta il territorio: sapidità, bella freschezza, finale gradevolmente amarognolo e tanta persistenza.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Barbera D’Alba Valbianchèra Vecchie Viti,,,Giovanni Almondo,Piemonte,,30,Barbera 100%,Risotto alla milanese con ossobuco,,,89,nd,nd,,,,,14,0,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Roero Bric Valdiana,,,Giovanni Almondo,Piemonte,,35,Nebbiolo 100%,Gulasch di cervo con patate stufate,,,89,nd,nd,,,,,14,3,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Roero Arneis Le Rive Del Bricco,,,Giovanni Almondo,Piemonte,,25,Arneis 100%,10 mesi Risotto agli scampi,,,89,nd,nd,,,,,14,4,,Acciaio,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Roero,,,Giovanni Almondo,Piemonte,,20,Nebbiolo 100%,Tonnarelli cacio e pepe,,,86,nd,nd,,,,,14,12,,Legno 18 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2016,,Ghemme Collis Breclemae,,,Antichi Vigneti di Cantalupo,Piemonte,,60,Nebbiolo 100%,Medaglioni di cervo con riduzione di cottura,,,89,nd,nd,,,,,13,3,,Legno 36 mesi,,"Colore carminio fitto con riflessi granato. Olfatto di suggestione che ricorda la frutta nera in confettura, speziatura balsamica e cenni di china, profumi che si completano con ricordi di fiori essiccati e di tabacco dolce. Al sorso risulta ricco e sostanzioso, dotato di energico tannino e ottima freschezza.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2016,,Colline Novaresi Nebbiolo Abate Di Cluny,,,Antichi Vigneti di Cantalupo,Piemonte,,46,Nebbiolo 100%,Legno 18 mesi Beccacce allo spiedo,,,89,nd,nd,,,,,13,1,,Acciaio 6 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2016,,Ghemme Cantalupo,,,Antichi Vigneti di Cantalupo,Piemonte,,40,Nebbiolo 100%,Nodini di cinta senese lardellati al forno,,,86,nd,nd,,,,,13,12,,Legno 24 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Carolus,,,Antichi Vigneti di Cantalupo,Piemonte,,15,Erbaluce 60% – Arneis 35% – Chardonnay 5%,Mozzarella di bufala campana,,,86,nd,nd,,,,,13,14,,Acciaio 4 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Colline Novaresi Nebbiolo Agamium,,,Antichi Vigneti di Cantalupo,Piemonte,,20,Nebbiolo 100%,Stinco d’agnello al forno,,,86,nd,nd,,,,,13,10,,Legno 12 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Colline Novaresi Rosato Il Mimo,,,Antichi Vigneti di Cantalupo,Piemonte,,15,Nebbiolo 100%,Pizza fritta con provola e salsiccia,,,82,nd,nd,,,,,13,80,,Acciaio 3 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Gattinara Osso San Grato Riserva,,,Antoniolo,Piemonte,,70,Nebbiolo 100%,Reale di vitello alla senape antica,,,91,nd,nd,,,,,14,4,,Legno 36 mesi,,"Luminoso granato, l’articolazione olfattiva è ricca di sentori fruttati di piccoli frutti di bosco, floreali di rosa appassita, malie speziate di cannella, zenzero e delicata sfumatura di liquirizia. Sorso di grande impatto, ricco di sapore, di imponente volume tannico e perfettamente bilanciato. Sapida e lunga persistenza.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Gattinara San Francesco Riserva,,,Antoniolo,Piemonte,,60,Nebbiolo 100%,Maiale in agrodolce,,,91,nd,nd,,,,,14,4,,Legno 36 mesi,,"Granato vivido, colpisce per la grande intensità, ricco di suggestioni floreali di viola, balsamiche di erbe aromatiche e officinali con chiusura fruttata di confettura di ciliegia. In bocca è caldo, avvolgente e di notevole struttura tannica, che in sinergia con la freschezza chiude il sorso con distinta sapidità.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Gattinara Riserva,,,Antoniolo,Piemonte,,40,Nebbiolo 100%,antoniolovini@bmm,,,89,nd,nd,,,,,14,20,,Legno 36 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Bramaterra,,,Antoniotti,Piemonte,,35,Nebbiolo 70% – Croatina 20% – Vespolina 7% – Uva rara 3%,antoniottiodilio@libero,,,91,nd,nd,,,,,14,6,,Legno 36 mesi,,"Carminio con cenni rubino. Esordio fruttato che ricorda susina, arancia, fragola e visciola, segue la stilla speziata e delicatamente vegetale di resina, muschio, pepe nero e alloro. Sorso di gran freschezza e tensione sapida, lineare la massa tannica già gradevole nell’equilibrio. Succosa persistenza. Vellutata di erbette con crostini di pane ai cereali. Vicolo Antoniotti, 5 Frazione Casa del Bosco 13868 Sostegno (BI) T. 0163 860309 | M.it",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2018,,Gattinara Cesare Riserva,,,Anzivino,Piemonte,,60,Nebbiolo 100%,Straccetti di cavallo,,,89,nd,nd,,,,,,1,,Acciaio 6 mesi e,,"Legno 36 mesi Granato compatto, ottima progressione, si propone inizialmente con toni speziati e balsamici dalle sfumature vegetali di radice di liquirizia e tabacco dolce, seguite da ventate floreali e di frutti rossi in confettura. Il sorso è ricco, di intensa freschezza, articolato su dolce tannino e sapida persistenza.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Gattinara,,,Anzivino,Piemonte,,23,Nebbiolo 100%,Legno 30 mesi Grigliata di carne bianca e verdure,,,89,nd,nd,,,,,,6,,Acciaio 5 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Bramaterra Riserva,,,Anzivino,Piemonte,,20,Nebbiolo 70% – Croatina 25% – Vespolina 5%,Legno 24 mesi Risotto alla parmigiana,,,86,nd,nd,,,,,,3,,Acciaio 12 mesi e,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Nizza San Luigi,,,Aresca,Piemonte,,16,Barbera 100%,Grigliata di carne con salsa barbecue,,,89,nd,nd,,,,,14,8,,Legno 12 mesi,,"Rubino compatto e impenetrabile. Ampio ventaglio olfattivo di ciliegie in confettura, amarene sotto spirito, fiori appassiti, cui seguono noce moscata, tabacco e pepe nero. Scalda subito il palato e apre immediatamente al connubio fresco-sapido, che aiuta notevolmente la beva. Lungo epilogo dei sentori retronasali.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2020,,Barbera D’Asti Superiore La Rossa,,,Aresca,Piemonte,,11,Barbera 100%,Cinghiale arrosto con castagne,,,86,nd,nd,,,,,14,12,,Legno 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2022,,Grignolino D’Asti Testabalorda,,,Aresca,Piemonte,,9,Grignolino 100%,Faraona al forno,,,86,nd,nd,,,,,14,12,,Acciaio 5 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2021,,Barbera D’Asti Superiore La Moretta,,,Aresca,Piemonte,,9,Barbera 100%,Toma di Murazzano,,,86,nd,nd,,,,,14,18,,Acciaio 6 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Cannubi,,,Arnaldo Rivera,Piemonte,,80,Nebbiolo 100%,Filetto di scottona in sfoglia,,,91,nd,nd,,,,,14,3,,Legno 36 mesi,,"Granato magistrale. Naso espansivo, centrato su una ricca presenza di spezie tra cui chiodi di garofano, radice di liquirizia, noce moscata; punteggiato da interludi balsamico-mentolati. Chiude con sensazioni tostate e ferruginose. Ottimo sorso, con gran rilievo tannico e piacevole tensione gustativa.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Bussia,,,Arnaldo Rivera,Piemonte,,55,Nebbiolo 100%,Brasato di manzo al vino rosso,,,89,nd,nd,,,,,14,3,,Legno 32 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Vignarionda,,,Arnaldo Rivera,Piemonte,,80,Nebbiolo 100%,Filetto al vino rosso e scalogno,,,89,nd,nd,,,,,14,3,,Legno 32 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Monvigliero,,,Arnaldo Rivera,Piemonte,,55,Nebbiolo 100%,Reale di vitello alla senape antica,,,89,nd,nd,,,,,14,3,,Legno 32 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Ravera,,,Arnaldo Rivera,Piemonte,,55,Nebbiolo 100%,Tagliata di manzo al rosmarino,,,89,nd,nd,,,,,14,4,,Legno 32 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Rocche Dell’Annunziata,,,Arnaldo Rivera,Piemonte,,80,Nebbiolo 100%,Castelmagno,,,89,nd,nd,,,,,14,3,,Legno 32 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Ascheri,,,Ascheri,Piemonte,,100,Nebbiolo 100%,Legno 26 mesi Stracotto d’asino,,,89,nd,nd,,,,,14,3,,Legno 26 mesi,,"Granato luminoso e vivace, d’impatto l’esordio fruttato: gelatina di ribes, fragola già in confettura, lamponi macerati. Si addensano guizzi di spezia dolce, cannella e cardamomo, per suggerire un incipiente respiro balsamico. Sorso denso, potente, dal tannino deciso ma mirabilmente integrato. Manzo brasato con funghi. BAROLO COSTE&BRICCO 2019 Rosso Docg Nebbiolo 100% Alc. 14% | € 100 | Bt. 3.500 | Ferm. Acciaio | Mat.",,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Sorano,,,Ascheri,Piemonte,,80,Nebbiolo 100%,Stufato di daino,,,86,nd,nd,,,,,14,3,,Legno 26 mesi,,,,Italy,,,
2,,,,,,,,,,,,,,,,,2024,2019,,Barolo Pisapola,,,Ascheri,Piemonte,,65,Nebbiolo 100%,Capriolo in salmì con polenta di grano saraceno,,,86,nd,nd,,,,,14,3,,Legno 26 mesi,,,,Italy,,,
